lat,lng,elat,latevents,elng,lngevents
32.7554883,-97.3307658,,,,
43.513006,4.987968,,,,
47.394144,0.68484,,,,
51.376165,-0.098234,,,,
50.3180199,11.933824,,,,
31.2000924,29.9187387,,,,
34.9381496,-91.0209529,,,,
-19.1056985,-61.700565,,,,
41.919229,8.738635,,,,
33.2148412,-97.1330683,,,,
-14.5994134,-28.6731465,,,,
25.311888,101.492853,,,,
19.1223754,-98.7667481,,,,
42.8761123,-78.0228829,,,,
39.900076,-79.7164326,,,,
10.6549013,-61.5019256,,,,
45.070312,7.6868565,,,,
46.818188,8.227512,,,,
49.205164,2.583212,,,,
47.5595986,7.5885761,,,,
-37.877,145.131,,,,
55.604981,13.003822,,,,
52.3758916,9.7320104,,,,
61.1749982,5.2144952,,,,
40.6051035,-73.6279072,,,,
43.490103,2.376579,,,,
23.634501,-102.552784,,,,
38.6105426,-90.3371889,,,,
5.2528033,-76.8259652,,,,
50.6841495,7.6365792,,,,
39.074208,21.824312,,,,
50.134664,-0.357056,,,,
37.6241793,-104.7802645,,,,
41.7508391,-88.1535352,,,,
23.634501,-102.552784,,,,
50.8784811,10.5115698,,,,
55.755826,37.6173,,,,
49.4254092,11.0796553,,,,
51.5073509,-0.1277583,,,,
45.188529,5.724524,,,,
33.591215,-7.6767115,,,,
51.376165,-0.098234,,,,
40.7607793,-111.8910474,,,,
47.5382565,-116.1193327,,,,
41.322316,-74.8023882,,,,
32.7766642,-96.7969879,,,,
32.060255,118.796877,,,,
34.373361,-118.5400404,,,,
34.373361,-118.5400404,,,,
35.6976541,-0.6337376,,,,
37.7749295,-122.4194155,,,,
-28.3333333,153,,,,
-33.4192822,149.5775008,,,,
46.231418,4.593407,,,,
41.2509919,-75.5393155,,,,
51.165691,10.451526,,,,
40.014561,-74.3112574,,,,
48.7758459,9.1829321,,,,
-6.7155252,146.999905,,,,
50.73757,4.23251,,,,
21.7991419,31.3713164,,,,
9.350599,-79.901527,,,,
22.616944,114.670289,,,,
29.2108147,-81.0228331,,,,
-33.3017267,-66.3377522,,,,
-27.5765485,152.939753,,,,
42.466095,2.578342,,,,
37.925442,23.700332,,,,
-2.9760735,104.7754307,,,,
40.7346687,-110.8437819,,,,
49.4874592,8.4660395,,,,
51.21543,2.928656,,,,
51.376165,-0.098234,,,,
40.6327278,17.9417616,,,,
43.749805,1.400246,,,,
49.1429001,13.5561642,,,,
50.1109221,8.6821267,,,,
45.6769979,-111.0429339,,,,
-14.33166,-170.711503,,,,
45.8211405,-81.9421524,,,,
32.9028812,-118.4980744,,,,
67.1700511,32.4229656,,,,
43.296482,5.36978,,,,
25.6775595,-100.2596935,,,,
49.050966,2.100645,,,,
37.5368803,-119.6562684,,,,
25.6653262,78.4609393,,,,
-37.633,144.95,,,,
41.2559961,13.6068672,,,,
19.4228872,-99.1028166,,,,
-36.9686277,174.7936872,,,,
34.4113854,-118.5400858,,,,
-23.5505199,-46.6333094,,,,
41.49932,-81.6943605,,,,
51.165691,10.451526,,,,
49.2291909,-124.8607794,,,,
-6.2555679,29.5107708,,,,
-31.9791666,-70.1125,,,,
45.7832856,-108.5006904,,,,
40.1208752,9.0128926,,,,
45.943161,24.96676,,,,
4.7109886,-74.072092,,,,
-0.0917016,34.7679568,,,,
13.444304,144.793731,,,,
32.2780642,130.2191303,,,,
47.5316049,21.6273123,,,,
54.3232927,10.1227652,,,,
-26.3204885,-48.8255373,,,,
44.4267674,26.1025384,,,,
40.6353493,17.8772696,,,,
22.396428,114.109497,,,,
-17.5226261,146.0285223,,,,
-33.4192822,149.5775008,,,,
46.6569871,9.5780257,,,,
51.5711476,8.105754,,,,
-37.831111,145.36,,,,
51.105097,-2.9262307,,,,
40.6051035,-73.6279072,,,,
52.3076865,4.7674241,,,,
50.4452112,-104.6188944,,,,
-33.4192822,149.5775008,,,,
33.3128057,44.3614875,,,,
38.0690894,-122.8069356,,,,
36.5288466,138.9738494,,,,
52.3702157,4.8951679,,,,
-12.4634403,130.8456418,,,,
48.856614,2.3522219,,,,
46.4083362,-105.8405582,,,,
-22.9068467,-43.1728965,,,,
-14.4521139,132.2715145,,,,
32.3078,-64.7505,,,,
34.5531284,18.0480105,,,,
50.8922905,4.4176727,,,,
5.255906,-75.1538939,,,,
40.9653217,-74.0519917,,,,
52.3758916,9.7320104,,,,
-14.5994134,-28.6731465,,,,
35.4675602,-97.5164276,,,,
31.6294723,-7.9810845,,,,
-18.665695,35.529562,,,,
31.6294723,-7.9810845,,,,
-2.1709979,-79.9223592,,,,
