Month,Events,,,,,,,,,
1978-05,3,,,,,,,,,
1978-06,3,,,,,,,,,
1978-07,1,,,,,,,,,
1978-08,5,,,,,,,,,
1978-09,13,,,,,,,,,
1978-10,8,,,,,,,,,
1978-11,9,,,,,,,,,
1978-12,8,,,,,,,,,
1979-01,6,,,,,,,,,
1979-02,8,,,,,,,,,
1979-03,12,,,,,,,,,
1979-04,5,,,,,,,,,
1979-05,4,,,,,,,,,
1979-06,3,,,,,,,,,
1979-07,7,,,,,,,,,
1979-08,11,,,,,,,,,
1979-09,8,,,,,,,,,
1979-10,8,,,,,,,,,
1979-11,10,,,,,,,,,
1979-12,7,,,,,,,,,
1980-01,6,,,,,,,,,
1980-02,5,,,,,,,,,
1980-03,6,,,,,,,,,
1980-04,4,,,,,,,,,
1980-05,4,,,,,,,,,
1980-06,6,,,,,,,,,
1980-07,5,,,,,,,,,
1980-08,8,,,,,,,,,
1980-09,8,,,,,,,,,
1980-10,1,,,,,,,,,
1980-11,6,,,,,,,,,
1980-12,6,,,,,,,,,
1981-01,3,,,,,,,,,
1981-02,7,,,,,,,,,
1981-03,5,,,,,,,,,
1981-04,5,,,,,,,,,
1981-05,8,,,,,,,,,
1981-06,5,,,,,,,,,
1981-07,6,,,,,,,,,
1981-08,5,,,,,,,,,
1981-09,5,,,,,,,,,
1981-10,5,,,,,,,,,
1981-11,5,,,,,,,,,
1981-12,7,,,,,,,,,
1982-01,6,,,,,,,,,
1982-02,7,,,,,,,,,
1982-03,5,,,,,,,,,
1982-04,5,,,,,,,,,
1982-05,5,,,,,,,,,
1982-06,6,,,,,,,,,
1982-07,7,,,,,,,,,
1982-08,7,,,,,,,,,
1982-09,8,,,,,,,,,
1982-10,1,,,,,,,,,
1982-11,4,,,,,,,,,
1982-12,9,,,,,,,,,
1983-01,4,,,,,,,,,
1983-02,2,,,,,,,,,
1983-03,5,,,,,,,,,
1983-04,8,,,,,,,,,
1983-05,2,,,,,,,,,
1983-06,8,,,,,,,,,
1983-07,5,,,,,,,,,
1983-08,6,,,,,,,,,
1983-09,6,,,,,,,,,
1983-10,5,,,,,,,,,
1983-11,5,,,,,,,,,
1983-12,5,,,,,,,,,
1984-01,7,,,,,,,,,
1984-02,7,,,,,,,,,
1984-03,6,,,,,,,,,
1984-04,2,,,,,,,,,
1984-05,3,,,,,,,,,
1984-06,3,,,,,,,,,
1984-07,6,,,,,,,,,
1984-08,8,,,,,,,,,
1984-09,7,,,,,,,,,
1984-10,7,,,,,,,,,
1984-11,2,,,,,,,,,
